Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Industry,Sector,Revenue,Job State,Job Simplified,Seniority,Vader
Designer UIX NLP/NLU,117500,"* W2 Only *
 The successful candidate will provide support and services for all IT Contact Center voice and data related needs. As an NLU specialist you will be responsible for optimizing our automated voice and messaging assistant (chatbot) for our internal customers. The role will provide ongoing NLU training on the chatbots to ensure improved intelligence and a frictionless user experience. This role will partner closely with both IT and HR contact center services with a collaborative development style and a focus on the user experience. The role will contribute to creating natural language processing systems focusing on conversational technology, dialogue systems and/or chatbot technology. The position will conduct ongoing analysis of chatbot performance to provide optimization recommendations that deliver and exceed our users KPIs.
 This individual level contributor is primarily responsible for serving as a liaison between users and IT, defining business processes, and participating as a technical contributor on project teams.",-1.0,"RightFit Talent Brokers, LLC",Remote,,,,,Remote,data scientist,,0.5
Machine Learning Engineer,129337,"Signal Systems Corporation (SSC) is searching for Machine Learning Engineers to support the development of next generation sonar systems and sonar signal processing algorithms for a range of underwater applications. SSC has a 25-year history of leveraging its institutional and individual expertise in distributed acoustic sensors, active noise control, acoustic surveillance, machine learning, audio enhancement and interference rejection to provide innovative engineering solutions for both government and commercial customers.
 Job Description/Responsibilities:
 Design and develop machine learning and supporting signal processing algorithms for detection, estimation, and classification on active and passive acoustic sensor data.
 Build large datasets, test machine learning models, and incorporate trained models into larger software products.",-1.0,Signal Systems Corporation,"Millersville, MD",,,,,MD,mle,,0.39
Senior Algorithms & Machine Learning Scientist,129163,"Job Summary:
 
 Walgreens, one of the nation's largest drugstore chains, is included in the Retail Pharmacy USA Division of Walgreens Boots Alliance, Inc., the first global pharmacy-led, health and wellbeing enterprise. More than 10 million customers interact with Walgreens each day in communities across America, using the most convenient, multichannel access to consumer goods and services and trusted, cost-effective pharmacy, health and wellness services and advice. Walgreens operates 8,175 drugstores with a presence in all 50 states, the District of Columbia, Puerto Rico and the U.S. Virgin Islands. Walgreens Omni-channel business includes Walgreens.com. Approximately 400 Walgreens stores offer Healthcare Clinic or other provider retail clinic services.
 
 As the neighborhood drugstore and retailer, our goal is to make health and happiness simpler, easier and within reach. And we remain a trusted wellness provider offering convenient access to important health services, such as immunizations and an array of pharmacy services that can help patients improve their health. To our team members, Walgreens represents a unique opportunity to excel in their careers in a welcoming and inclusive environment. We offer the chance to work in a truly supportive environment, and be a part of a progressive organization dedicated to the well-being of our customers, team members and the communities we all call home.
 
 
 
 
 About Walgreens and WBA
 
 Walgreens (www.walgreens.com) is included in the U.S. Retail Pharmacy and U.S. Healthcare segments of Walgreens Boots Alliance, Inc. (Nasdaq: WBA), an integrated healthcare, pharmacy and retail leader with a 170-year heritage of caring for communities. WBA’s purpose is to create more joyful lives through better health. Operating nearly 9,000 retail locations across America, Puerto Rico and the U.S. Virgin Islands, Walgreens is proud to be a neighborhood health destination serving nearly 10 million customers each day. Walgreens pharmacists play a critical role in the U.S. healthcare system by providing a wide range of pharmacy and healthcare services, including those that drive equitable access to care for the nation’s medically underserved populations. To best meet the needs of customers and patients, Walgreens offers a true omnichannel experience, with fully integrated physical and digital platforms supported by the latest technology to deliver high-quality products and services in communities nationwide.",3.1,WALGREENS,"Chicago, IL",10000+,Drug & Health Stores,Retail & Wholesale,10000+,IL,mle,senior,0.52
Data Scientist with AI and ML experience,140000,"Data Scientist with advanced analytics experience
 InnoVet Health, a small and growing business that provides health IT professional services to the Department of Veterans Affairs (VA) is looking for a Data Scientist with advanced analytics experience who can turn requirements and research questions into reports, clear insights, predictions, and business intelligence. The position offers stimulating advanced analytics activities (AI/ML), in a rich healthcare environment, interacting with senior staff. This position is full-time and does not require relocating (work remotely). The pay, benefits, and growth potential are competitive.
 Responsibilities
 Collect, elaborate, and manage requirements from VA customers. Actively participate in setting up and managing new studies.",-1.0,"innoVet Health, LLC",Remote,,,,,Remote,data scientist,,0.44
Machine Learning Engineer,112751,"Supports and performs the development and programming of machine learning integrated software algorithms to structure, analyze, and leverage data in a production environment.
 Core Responsibilities
 Leverages data pipeline designs and supports the development of data pipelines to support model development. Proficient with software tools that develop data pipelines in a distributed computing environment (PySprak, GlueETL).
 Supports integration of model pipelines in a production environment. Develops understanding of SDLC for model production.
 Reviews pipeline designs, makes data model design changes as needed. Documents and reviews design changes with data science teams.",3.7,Vanguard,"Philadelphia, PA",10000+,Investment & Asset Management,Financial Services,,PA,mle,,0.19
Drilling Automation Data Scientist,86585,"Patterson-UTI DrillingThe New Standard for Drilling Performance
 Drill safer, smarter and faster with Patterson-UTI Drilling’s comprehensive fleet of pad-capable rigs featuring advanced walking systems to enhance your operations so you can reach your apex.
 Patterson-UTI’s Data Science team is a growing group of energetic, passionate individuals working to improve and inform the Company through data. We work exclusively with the Drilling Automation team to help design, evaluate, and improve novel drilling automation technology.
 Some example projects that we are applying analytics and data science to include:
