Salary Estimate,Rating,Company Name,Location,Size,Industry,Sector,Job State,Job Simplified,Vader
129163.0,3.1,WALGREENS,"Chicago, IL",10000+,Drug & Health Stores,Retail & Wholesale,IL,mle,0.52
112751.0,3.7,Vanguard,"Philadelphia, PA",10000+,Investment & Asset Management,Financial Services,PA,mle,0.19
86585.0,3.7,Patterson-UTI,"Houston, TX",1001 - 5000,Energy & Utilities,"Energy, Mining & Utilities",TX,data scientist,0.82
77143.0,3.9,Scottish Rite for Children,"Dallas, TX",1001 - 5000,Health Care Services & Hospitals,Healthcare,TX,analyst,0.18
98663.0,3.2,Hertz,"Estero, FL",10000+,Car & Truck Rental,Transportation & Logistics,FL,data scientist,0.51
99160.0,3.7,Patterson-UTI,"Houston, TX",1001 - 5000,Energy & Utilities,"Energy, Mining & Utilities",TX,data scientist,0.82
92554.0,3.8,Veolia,"Boston, MA",10000+,Energy & Utilities,"Energy, Mining & Utilities",MA,data scientist,0.09
141056.0,4.2,The Aerospace Corporation,"Chantilly, VA",1001 - 5000,Aerospace & Defense,Aerospace & Defense,VA,data scientist,0.54
125166.0,4.5,"D. E. Shaw & Co., L.P.","New York, NY",1001 - 5000,Investment & Asset Management,Financial Services,NY,analyst,0.53
60000.0,3.7,LegalMatch,"Reno, NV",51 - 200,Legal,Legal,NV,data scientist,0.5
105000.0,4.5,Smart AdServer,Manhattan,501 - 1000,Information Technology Support Services,Information Technology,NY,analyst,0.49
73162.0,3.0,AAA Texas,"Coppell, TX",5001 - 10000,Membership Organizations,Management & Consulting,TX,data scientist,0.35
561600.0,3.1,Kett Engineering Corporation,"Santa Clara, CA",501 - 1000,Accounting & Tax,Financial Services,CA,analyst,0.54
70624.0,3.8,Society Insurance Company,"Fond du Lac, WI",201 - 500,Insurance Carriers,Insurance,WI,analyst,0.0
72500.0,3.0,Harlem Children's Zone,"New York, NY",1001 - 5000,Civic & Social Services,Nonprofit & NGO,NY,data scientist,0.29
748800.0,-1.0,Sciome LLC,"Research Triangle Park, NC",1 - 50,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NC,statistician,0.46
125075.0,3.1,WALGREENS,"Chicago, IL",10000+,Drug & Health Stores,Retail & Wholesale,IL,data scientist,0.35
80000.0,3.5,Lymba Corporation,"Richardson, TX",51 - 200,Enterprise Software & Network Solutions,Information Technology,TX,data scientist,0.44
130350.0,4.1,Tencent,"Palo Alto, CA",10000+,Internet & Web Services,Information Technology,CA,data scientist,0.25
114603.0,3.7,Elevance Health,"Chicago, IL",10000+,Health Care Services & Hospitals,Healthcare,IL,mle,0.4
97406.0,4.0,Massachusetts General Hospital(MGH),"Somerville, MA",10000+,Health Care Services & Hospitals,Healthcare,MA,data scientist,0.11
92500.0,-1.0,Illumination Works,Remote,51 - 200,Information Technology Support Services,Information Technology,Remote,data scientist,0.35
116657.0,4.7,Boston Dynamics,"Waltham, MA",201 - 500,Computer Hardware Development,Information Technology,MA,mle,0.37
81450.0,3.4,Kraft Heinz Company,Illinois,10000+,Food & Beverage Manufacturing,Manufacturing,IL,data scientist,0.25
91262.0,3.8,Sun Life,"Wellesley Hills, MA",10000+,Insurance Carriers,Insurance,MA,data scientist,0.45
107469.0,4.1,Nike,"Beaverton, OR",10000+,Consumer Product Manufacturing,Manufacturing,OR,data scientist,0.31
100000.0,3.7,Stemuli Studios Inc.,Remote,1 - 50,Business Consulting,Management & Consulting,Remote,mle,0.49
79904.0,4.0,CNA,"Arlington, VA",501 - 1000,Aerospace & Defense,Aerospace & Defense,VA,analyst,0.44
75232.0,3.8,Sherwin-Williams,"Cleveland, OH",10000+,Consumer Product Manufacturing,Manufacturing,OH,analyst,0.54
94621.0,4.0,UTHealth Houston,"Houston, TX",5001 - 10000,Colleges & Universities,Education,TX,data scientist,0.39
82500.0,3.3,MissionWired,"Washington, DC",51 - 200,Advertising & Public Relations,Media & Communication,DC,data scientist,0.73
135000.0,4.1,Arivo Acceptance LLC,"Salt Lake City, UT",51 - 200,Banking & Lending,Financial Services,UT,data scientist,0.59
182000.0,3.9,Leidos,"Reston, VA",10000+,Aerospace & Defense,Aerospace & Defense,VA,data scientist,0.4
120100.0,3.9,SCAN Health Plan,"Long Beach, CA",1001 - 5000,Insurance Carriers,Insurance,CA,analyst,0.65
126489.0,3.9,Discover Financial Services,"Riverwoods, IL",1001 - 5000,Banking & Lending,Financial Services,IL,data scientist,0.34
117279.0,3.9,Discover Financial Services,"Riverwoods, IL",1001 - 5000,Banking & Lending,Financial Services,IL,data scientist,0.34
115683.0,4.3,Fidelity Investments,"Boston, MA",10000+,Investment & Asset Management,Financial Services,MA,mle,0.45
168700.0,3.5,Strive Health,"Denver, CO",501 - 1000,Health Care Services & Hospitals,Healthcare,CO,data scientist,0.35
96771.0,4.1,Deloitte,"Tampa, FL",10000+,Accounting & Tax,Financial Services,FL,data engineer,0.42
205000.0,4.1,Bloomberg,"Middletown, CT",10000+,Computer Hardware Development,Information Technology,CT,statistician,0.34
178044.0,3.8,Comcast,"Philadelphia, PA",10000+,Telecommunications Services,Telecommunications,PA,data scientist,0.33
106254.0,3.8,Unum,"Portland, ME",5001 - 10000,Insurance Carriers,Insurance,ME,data scientist,0.45
155700.0,4.2,Vertex Pharmaceuticals,"Boston, MA",1001 - 5000,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.11
174000.0,4.1,Takeda Pharmaceutical,"Boston, MA",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,MA,data scientist,0.44
125215.0,4.4,Boston Consulting Group,"Atlanta, GA",10000+,Business Consulting,Management & Consulting,GA,data scientist,0.47
112760.0,4.3,Fidelity Investments,"Durham, NC",10000+,Investment & Asset Management,Financial Services,NC,mle,0.28
143058.0,4.4,Elder Research Inc,"Fort Meade, MD",51 - 200,Business Consulting,Management & Consulting,MD,data scientist,0.39
112350.0,3.7,Guidehouse,"Atlanta, GA",1001 - 5000,Business Consulting,Management & Consulting,GA,data scientist,0.31
166500.0,4.3,CyberCoders,"Lake Forest, CA",201 - 500,Staffing & Subcontracting,Human Resources & Staffing,CA,data scientist,0.51
103572.0,3.9,Genesis10,"Jersey City, NJ",1001 - 5000,Business Consulting,Management & Consulting,NJ,data scientist,0.37
150000.0,4.1,Bloomberg,"Middletown, CT",10000+,Computer Hardware Development,Information Technology,CT,data scientist,0.38
144780.0,3.9,Bristol Myers Squibb,"Princeton, NJ",10000+,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,NJ,data architect,0.32
175000.0,4.3,CyberCoders,"Stamford, CT",201 - 500,Staffing & Subcontracting,Human Resources & Staffing,CT,data scientist,0.48
90000.0,3.8,Labcorp,"Wilmington, NC",10000+,Health Care Services & Hospitals,Healthcare,NC,data scientist,0.91
190000.0,3.6,Peraton,"Reston, VA",10000+,Information Technology Support Services,Information Technology,VA,data scientist,0.24
100476.0,3.5,Christus Health,"Irving, TX",10000+,Health Care Services & Hospitals,Healthcare,TX,data scientist,0.71
137500.0,4.3,CyberCoders,"Houston, TX",201 - 500,Staffing & Subcontracting,Human Resources & Staffing,TX,data scientist,0.62
160000.0,4.2,The HT Group,"Austin, TX",1 - 50,HR Consulting,Human Resources & Staffing,TX,data scientist,0.16
90000.0,4.5,Joule,"Frederick, MD",201 - 500,HR Consulting,Human Resources & Staffing,MD,research scientist,0.31
110165.0,3.7,Guidehouse,"Arlington, VA",1001 - 5000,Business Consulting,Management & Consulting,VA,data scientist,-0.12
205000.0,4.1,Bloomberg,"Middletown, CT",10000+,Computer Hardware Development,Information Technology,CT,mle,0.37
