Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist V,"$111,362 /yr (est.)","Posting End Date:
April 09, 2023
Employee Type:
Regular-Full time
Union/Non:
This is a non-union position
Life takes energy. The Enbridge Technology + Innovation Lab works with data that powers our products to improve safety and reliability. By working hands-on with ground-breaking technology, the lab pioneers the development of innovative products through small agile teams. Our teams incorporate a variety of multidisciplinary skills, including industrial predictive algorithms, machine learning, and sentiment analysis.
As a Data Scientist V, you’ll bring a deep understanding of big data and will help the T+IL to build and enable big data analytics solutions. We build advanced technology products to deliver energy in a safe and reliable way to fuel a rapidly innovating world. Here in our new Technology + Innovation Lab we believe in Agile way of working, focus on our people and value craftsmanship, in a ‘work is play’ environment where we offer a flexible, fun, and modern working style to support individual needs.",4.1,"Enbridge
4.1","Houston, TX",10000+ Employees,1949,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
Data Scientist,-1,"Data Scientist
Job Category: Science
Time Type: Full time
Minimum Clearance Required to Start: TS/SCI
Employee Type: Regular
Percentage of Travel Required: Up to 10%
Type of Travel: Local
CACI is seeking a Mathematics / Statistical Scientist (Mid) to perform and manage the production of various products in coordination with project and program leadership. This position will support development and application of modeling and simulation tools and algorithms and data mining, analysis, aggregation, fusion, and visualization to process, analyze, and integrate disparate data sources facilitating the production and dissemination of S&TI and GMI relating to forecasting of future foreign ground forces research, development, weapon systems, employment, and operations. The candidate shall integrate statistical data analysis techniques with raw and finished intelligence and geospatial data and services to produce analysis aligned with research objectives. The work involves ensuring data outputs and analysis are available in actionable, standard, and usable forms and utilizing the application of intelligence principles in concert with a practical knowledge of information technology to provide technical mission support.








Company Overview: At CACI, you will have the opportunity to make an immediate impact by providing information solutions and services in support of national security missions and government transformation for Intelligence, Defense, and Federal Civilian customers. CACI is an Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, status as a protected veteran, or any other protected characteristic.",4.0,"CACI
4.0","Charlottesville, VA",10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$1 to $5 billion (USD)
Data Science/Analysis Research Librarian,-1,"Hamilton College invites applications for the position of Data Science/Analysis Research Librarian in the Library and Information Technology Services (LITS). The Data Science/Analysis Research Librarian will provide research support and introduce cutting-edge data analysis tools and methodologies to LITS patrons as a member of the Research and Instructional Design (R&ID) Team where research and technology experts work together to support faculty and students with research and teaching. The R&ID Team provides an inclusive, respectful, and responsive service point, works collaboratively to meet exciting research challenges, supports learning communities, and introduces and facilitates the use of innovative technologies through consultation and instruction.
In addition, the Data Science/Analysis Research Librarian will focus on assisting a diverse audience of social science faculty and students with collection or creation, processing, and analysis of data. The Data Science/Analysis Research Librarian will refer or work with others in LITS and with LITS partners to support visualization, preservation, access, and reuse of data with the purpose of informing social science research and helping undergraduate students understand important social science concepts.",4.6,"Hamilton College
4.6","Clinton, NY",501 to 1000 Employees,1812,College / University,Colleges & Universities,Education,$25 to $100 million (USD)
Senior Systems Engineer - Systems Modeling & Controls Expert,"$125,000 /yr (est.)","You will have an opportunity to directly impact the energy industry and help shape the direction of Shell as it navigates through the energy transition. You will be part of a team of passionate, creative engineers and entrepreneurs working in a caring, fun, and dynamic environment. Shell TechWorks is an innovation hub that works on a project basis across all of Shell’s businesses ranging from Deep Water and Exploration through to Retail and Renewables & Energy Solutions. We bring together people with disparate backgrounds from outside the oil & gas industries to tackle the big challenges the energy industry is facing. You will be part of a truly collaborative, inclusive, multi-functional team with a mission to help Shell produce more and cleaner energy.
Some examples of projects we have worked on recently include:
· Developing roadmaps, based upon in-depth system analyses, to help customers in hard-to-abate industrial sectors such as cement and steel manufacturing realize their decarbonization goals.",4.1,"Cenergy International Services
4.1","Boston, MA",10000+ Employees,1907,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD)
Senior Data Scientist - TS Clearance Required,"$131,400 /yr (est.)","Sr Data Scientist (up to 25% profit sharing benefit)
Job Category: Science
Time Type: Full time
Minimum Clearance Required to Start: TS/SCI with Polygraph
Employee Type: Regular
Percentage of Travel Required: Up to 10%
Type of Travel: Local
Eighty20Collective's team is at the forefront of developing and operating state-of-the-art of Geospatial Intelligence analysis software. The team builds and maintains an exceptionally powerful platform enabling our users to address challenging real-world problems by converting disparate data into actionable information. The team is deeply passionate about its mission and takes tremendous pride in our work. We work directly with operational users to design, develop, and maintain capabilities that empower analysts to create actionable intelligence from the massive volumes of Geospatial Intelligence data to give our intel and combat organizations the decision advantage over our near-peer adversaries.",-1.0,Eighty20 Collective,"Sterling, VA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable
"Senior Utility Analyst, Principal Utility Analyst or Data Scientist (DOQ)","$127,158 /yr (est.)","We are currently accepting applications for the following position:
Senior Utility Analyst, Principal Utility Analyst or Data Scientist (DOQ)
Job #15308
$76,107 - $178,208
Basic Responsibilities
Performs research, presents materials, and executes solutions in the areas of rates, load forecasting, and energy risk management. Progressive responsibilities include data gathering, cost of service analyses, ratemaking, deep understanding of large data sets and systems, data science, econometrics, other predictive analytics, and financial risk management skills as applied to the wholesale energy market. Represents the District regarding these and other analytical issues before regulatory agencies and business associations, often in public forums.",4.1,"Snohomish County PUD No.1
4.1","Everett, WA",501 to 1000 Employees,1936,Government,Energy & Utilities,"Energy, Mining & Utilities",$500 million to $1 billion (USD)
Data Science Specialist - Office of Education & Workforce Statistics,"$72,784 /yr (est.)","AIDT and the Alabama Department of Commerce in Montgomery, AL are seeking applicants for a full-time Office of Education & Workforce Statistics - Data Science Specialist.
($59,750 - $85,817)
ANNOUNCEMENT DATE: March 24, 2023
APPLICATION DEADLINE: April 14, 2023
PROJECTED START DATE: June 3, 2023
All resumes (mailed or electronic) must be received no later than 1:00 p.m. on April 14, 2023 to be considered. Successful applicants will be notified by email.
SYNOPSIS",4.3,"AIDT
4.3","Montgomery, AL",51 to 200 Employees,1971,Government,Education & Training Services,Education,$25 to $100 million (USD)
Machine Learning Engineer,"$130,000 /yr (est.)","Job Description Overview:
Vectrus seeks a results-driven individual with Machine Learning experience in support of web application development and native Linux software development in an Agile Software Development environment. As a Machine Learning Engineer, you will be responsible for the design, development, implementation, and validation of software that identifies and classifies systems transmitting in the RF spectrum. You will lead the research of appropriate Machine Learning methodologies, the integration with existing software suites, and the documentation and reporting of results.
You will join our team of over 30 years’ worth of leading-edge engineering experience to manage and promote the efficient use of radio frequencies through research, development, testing, and evaluation for federal, commercial, and international clients. Vectrus provides innovative, cost-effective service solutions to U.S. government customers around the world. Our solutions are designed to ensure successful outcomes for our customers, earning their trust every day. We operate in a highly dynamic global environment with constantly changing opportunities for career development and advancement.",3.9,"Vectrus
3.9","King George, VA",10000+ Employees,1945,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable
Designer UIX NLP/NLU,"$117,500 /yr (est.)","* W2 Only *
The successful candidate will provide support and services for all IT Contact Center voice and data related needs. As an NLU specialist you will be responsible for optimizing our automated voice and messaging assistant (chatbot) for our internal customers. The role will provide ongoing NLU training on the chatbots to ensure improved intelligence and a frictionless user experience. This role will partner closely with both IT and HR contact center services with a collaborative development style and a focus on the user experience. The role will contribute to creating natural language processing systems focusing on conversational technology, dialogue systems and/or chatbot technology. The position will conduct ongoing analysis of chatbot performance to provide optimization recommendations that deliver and exceed our users KPIs.
This individual level contributor is primarily responsible for serving as a liaison between users and IT, defining business processes, and participating as a technical contributor on project teams.",-1.0,"RightFit Talent Brokers, LLC",Remote,-1,-1,-1,-1,-1,-1
Sr Data Scientist,-1,"Description
The successful candidate will join the Model Risk Management and Validation Group (MRM&V). MRM&V performs independent analytical reviews and validations of all models throughout Citizens Bank. The candidate will perform analysis of models and other tools through extensive reviews into how the tool was developed and how it functions. The candidate will also provide written communications of their findings in a clear, succinct manner to all model stakeholders including model owners, developers, lines of business, audit and regulatory agencies. By the nature of this position, the successful candidate will be exposed to a wide variety of models and business analysts, and senior management.


Primary responsibilities include:























































At Citizens, you'll find a customer-centric culture built around helping our customers and giving back to our local communities. When you join our team, you are part of a supportive and collaborative workforce, with access to training and tools to accelerate your potential and maximize your career growth",3.7,"Citizens
3.7","Boston, MA",10000+ Employees,1828,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD)
Machine Learning Engineer,"$129,337 /yr (est.)","Signal Systems Corporation (SSC) is searching for Machine Learning Engineers to support the development of next generation sonar systems and sonar signal processing algorithms for a range of underwater applications. SSC has a 25-year history of leveraging its institutional and individual expertise in distributed acoustic sensors, active noise control, acoustic surveillance, machine learning, audio enhancement and interference rejection to provide innovative engineering solutions for both government and commercial customers.
Job Description/Responsibilities:
Design and develop machine learning and supporting signal processing algorithms for detection, estimation, and classification on active and passive acoustic sensor data.
Build large datasets, test machine learning models, and incorporate trained models into larger software products.",-1.0,Signal Systems Corporation,"Millersville, MD",-1,-1,-1,-1,-1,-1
Machine Learning Scientist,-1,"Novateur stands for Innovation. We value creativity, vision, collaboration, and above all, ambition to innovate. Novateur Research Solutions is an R&D firm located in Northern Virginia. We are looking for Scientists and Mathematicians to join our research team and help us solve challenging scientific and computational problems in machine learning, computer vision, spatiotemporal data mining, and related areas.
As part of the Novateur Team, you will actively collaborate with world-renowned researchers in academia and industry to develop cutting-edge technologies for smart systems. You will have opportunities and professional freedom to create novel research and technical directions in your areas of interest, attend major scientific conferences and seminars, and publish research papers.
What You'll Do:
Collaborate with other researchers at Novateur and academia to solve challenging scientific and operational problems in machine learning, computer vision, spatiotemporal data modeling, and related areas.",-1.0,Novateur Research Solutions,"Ashburn, VA",-1,-1,-1,-1,-1,-1
Artificial Intelligence / Machine Learning Engineer,"$107,538 /yr (est.)","Job ID: 625623BR
Date posted: Jan. 10, 2023

Locations: Moorestown, New Jersey

Description:By applying for this role you will be considered for enterprise-wide opportunities within Lockheed Martin for the same or similar skill set.

Step into the challenge of engineering a better tomorrow. You'll be backed by the inspiration of Lockheed Martin's culture, based on a heritage of innovation and creativity, serving the needs of our nation and humanity. Here you can make a difference in many ways, from mission-critical ongoing programs to emerging technologies. The opportunities are limitless!

Systems Engineering within the Mission Systems Engineering Center of Excellence (COE) is seeking a candidate to support the design, implementation, analysis, testing, and maintenance of large-scale radar products.

The successful candidate will have strong analytic and communication skills and work well in a dynamic, multi-disciplinary team environment.

The AI/ML Engineer candidate will:

The ability to obtain and maintain a government security clearance is required. US citizenship is needed.

Bachelor's Degree or higher in an Engineering field such as Electrical, Systems Engineering, Computer Science or Computer Engineering, Artificial Intelligence or Machine Learning, including a general knowledge in Math, Physics or other physical sciences

Demonstrated application of Systems design

Demonstrated proficiency in Matlab or Python or C++ or equivalent high-level computing language

Experience with statistical and machine learning techniques, working with complex datasets and building statistical, machine learning, or deep learning models

Strong customer focus with proven ability to drive complex technical issues/challenges to closure

U.S. Citizen with ability to obtain a DoD Secret level clearance

Experience in one or more of the following tools/libraries: TensorFlow, Keras, PyTorch, NumPy, pandas, scikit-learn, Matplotlib

Experience in one or more of the following areas: system analysis, requirements development, algorithm design, or modeling and simulation

Active DoD Secret level clearance or higher
This position requires a government security clearance, you must be a US Citizen for consideration.
Secret

By applying to this job, you are expressing interest in this position and could be considered for other career opportunities where similar skills and requirements have been identified as a match. Should this match be identified you may be contacted for this and future openings.
Onsite Full-time: The work associated with this position will be performed onsite at a designated Lockheed Martin facility.
Lockheed Martin supports a variety of alternate work schedules that provide additional flexibility to our employees. Schedules range from standard 40 hours over a five day work week while others may be condensed. These condensed schedules provide employees with additional time away from the office and are in addition to our Paid Time off benefits.
4x10 hour day, 3 days off per week

Join us at Lockheed Martin, where your mission is ours. Our customers tackle the hardest missions. Those that demand extraordinary amounts of courage, resilience and precision. They're dangerous. Critical. Sometimes they even provide an opportunity to change the world and save lives. Those are the missions we care about.

As a leading technology innovation company, Lockheed Martin's vast team works with partners around the world to bring proven performance to our customers' toughest challenges. Lockheed Martin has employees based in many states throughout the U.S., and Internationally, with business locations in many nations and territories.
Hourly/Non-Exempt
RMS
No
Systems Engineering: Design and Verification
Full-Time
First",4.1,"Lockheed Martin
4.1","Moorestown, NJ",10000+ Employees,1995,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD)
Senior Quality Data Analyst,"$80,968 /yr (est.)","FIRST SHIFT - Draeger Medical Systems, Inc. - Job-ID V000007415
Andover
Vollzeit

The Job Responsibilities
Develops and implements tools and techniques resulting in recommendations that enable leadership to make data-based decisions; including selection of report architecture and most appropriate modeling and data visualization techniques.
Compiles, analyzes, and effectively presents quality data trending reports to identify opportunities that increase efficiency, ensure quality and decrease cost and meet the need of various internal customers, such as Clinical Engineering, Risk Management and PMS.
Develops, maintains and presents Quality Metrics to CFT/PSB and the Andover Management Team. Maintains a thorough knowledge of new developments, technology and processes. Must be able to create charts (Pareto, 80/20 - Predictive, etc.) and analyze data.












Tiffany Faulhefer
tiffany.faulhefer.contractor@draeger.com",3.8,"Draeger Medical Systems, Inc.
3.8","Andover, MA",10000+ Employees,1889,Company - Public,Health Care Products Manufacturing,Manufacturing,$1 to $5 billion (USD)
Data Mining Center Journeyman Electrician,$33.00 /hr (est.),"Bitcoin Mining Center Journeyman Electrician:
Looking for highly motivated individuals with knowledge and experience working in data center deployment or other multi-discipline industrial construction projects. The candidate should have a basic knowledge of HSE rules, and some exposure to NEC codes, and UL electrical standards or be extremely trainable. Ideal candidate can read blueprints, use diagnostic tools, and make decisions under pressure.
Requirements/Qualifications:
Available to work full time in 10–12-hour shifts in high heat index and cold weather climates, Able to lift 35 pounds and complete strenuous physical work, assist with loading/unloading of miners, perform daily inspections/audits, assist with troubleshooting of miners by visually inspecting to look for issues (ethernet cables, power cables, etc.) Assist with replacement of deficient machines, communicate safety concerns, assist with additional tasks as assigned by management, flexible schedule with some weekends and after-hours.",-1.0,Pennum Industries,"Greenville, SC",-1,-1,-1,-1,-1,-1
Data Engineer,"$110,000 /yr (est.)","NATO Data Engineer
Requirements:
Ts/sci or secret clearance
High proficiency level in English language
A Bachelor of Science degree from a recognized university in computer science, IT, software or computer engineering, data science, applied math, physics, statistics, or a related field.
Experience with advanced level SQL, including query optimization, complex joins, development of stored procedures, user-defined functions and working with Analytic Functions in the last 3 years.
Proficient in at least one data manipulation language such as Python, Scala, R, etc.",-1.0,"Bluemont Technology & Research, Inc.","Norfolk, VA",-1,-1,-1,-1,-1,-1
